2022-09-09 20:21:51.241 [restartedMain] INFO  org.apache.catalina.core.StandardService - [log,173] - Starting service [Tomcat]
2022-09-09 20:21:51.242 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-09-09 20:21:51.270 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - [log,173] - Initializing Spring embedded WebApplicationContext
2022-09-09 20:21:51.288 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - [dataSource,56] - Init DruidDataSource
2022-09-09 20:21:51.328 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - [init,995] - {dataSource-3} inited
2022-09-09 20:21:51.552 [restartedMain] INFO  com.newboot.shop.admin.config.ThreadPoolConfig - [taskExecutor,66] - class com.newboot.shop.admin.config.ThreadPoolConfig set ThreadPoolTaskExecutor.
2022-09-09 20:21:51.553 [restartedMain] INFO  com.newboot.shop.admin.config.ThreadPoolConfig - [taskExecutor,86] - class com.newboot.shop.admin.config.ThreadPoolConfig set ThreadPoolTaskExecutor completed.
2022-09-09 20:21:51.847 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-28078"]
2022-09-09 20:21:51.858 [restartedMain] INFO  com.newboot.shop.admin.ShopAdminApplication - [logStarted,61] - Started ShopAdminApplication in 1.341 seconds (JVM running for 375.736)
2022-09-09 20:21:58.952 [http-nio-28078-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-09 20:22:04.223 [http-nio-28078-exec-5] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,43] - checking username:admin
2022-09-09 20:22:04.223 [http-nio-28078-exec-1] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,43] - checking username:admin
2022-09-09 20:22:04.223 [http-nio-28078-exec-6] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,43] - checking username:admin
2022-09-09 20:22:04.229 [http-nio-28078-exec-6] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,49] - authenticated user:admin
2022-09-09 20:22:04.229 [http-nio-28078-exec-5] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,49] - authenticated user:admin
2022-09-09 20:22:04.230 [http-nio-28078-exec-1] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,49] - authenticated user:admin
2022-09-09 20:22:12.883 [http-nio-28078-exec-3] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,43] - checking username:admin
2022-09-09 20:22:12.886 [http-nio-28078-exec-3] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,49] - authenticated user:admin
2022-09-09 20:22:13.153 [http-nio-28078-exec-7] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,43] - checking username:admin
2022-09-09 20:22:13.158 [http-nio-28078-exec-7] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,49] - authenticated user:admin
2022-09-09 20:22:19.806 [http-nio-28078-exec-4] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,43] - checking username:admin
2022-09-09 20:22:19.812 [http-nio-28078-exec-4] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,49] - authenticated user:admin
2022-09-09 20:22:26.556 [http-nio-28078-exec-10] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,43] - checking username:admin
2022-09-09 20:22:26.560 [http-nio-28078-exec-10] INFO  c.n.s.s.component.JwtAuthenticationTokenFilter - [doFilterInternal,49] - authenticated user:admin
